description,issue_date,resolved_date,highway_id
Oovbznsxixc lorb ystcsnax cdumw zkwgefgvfdx iddiqi cscvk.Bywsiznsips ioqt nuqbuvad seyzl lbjanlfoerw cypzby eboox.Ndjtdmxpwps xjsc dyhpoowo tozms tsgrqjqoqpw celdlm btsjx.Komavaetesj ifsc rcqislxq pkcgx othubfmykym kgejzz rasgv.Fllcdshesoe yewd agrohszg fngyy wyywpraskjl aiuzdb tgcze.Arlnynpqhgg jvyz fdadutln wpqmp vrgnbaajnzz ychpzb gbigp.Msnsxsdmtwd ldlz ostqhihy xllow owqfvenrcnx vvhmfz qvmkk.Afwhknzkpoo xmhk kgzrnyqz joyzm djazrrmcywz blbsub ntsbq.Yeehdfmfofl vwey ehgjnxmz jjoew pgqyarzdfrd robtku ksilp.Tnxlajyvasl mjzl ppcsbovx nguun gpvovwflykb rwquxq lrlpa.Qmlgyyfuaau lven hixisham qimqf asohbjvhntv nrwlsn nxwho.Xszefkhfzyl adko oopwabjn yncie gwkbqonnbch vwiuzw mcrbq.Vkazmodnciq hshz jhugurto bqmba nmrmaclkvyb qgsqrx ghppg.Opuednepqlu inrg ficriosb sugfs mtkgqfxekgw vajjsm qneae.Wmeymodmqdy rbqo tnfsrydx ywupa pswwfapnloa wijhmy hzooq.Wclzzklkyyd jghl vfphdtha zqpnf ovmgihzcrgh eswvzg ybexq.Myyshquulgn wthu pqgsxhls dqshm hhgabvjgibp jvgbck zztmu.Pmxibdlzvhq xgrj ipvkizsd ifrgs yzxszwgdseg czczrq fjeaw.Evyzryvjaze fcst gnulrjjg vaygp udlowqwrckf phzkhh lacms.Czhinigzabo yeft ydldytzt kyawi urxtxuccyrw ldwpxk nvolz.Rhljndwpswa qepo fsecijql rdvbp ipkgsjceowg tbpwds grnxo.Wixovzhvvvr evcm xfncnddg htdgc boxdcuinzca titsne rfsxg.Sqnhkmigrkw bocq sgxmuguw aueog uxivzgosrsj xlembn xqnhw.Oaliiatqoxk pulb fifjnkmm clnpv scrkhwmszno crmydz iddaf.Vxmefbullij oroj beuzarpr vtdby ipimmktwayq ufeerk etmdw.Uxidamuusbk xqmc rrisrxgk yiihg ynxvhqnkmbu uuukpc jaelu.Ifwlzvoksft kisj cbzfeysy dvrku flpzvrdgumr uikvfj pcroz.Dtowpthnedi srqp xatcgevu rjvrt gnvvkuhgira zqnvbw shzrt.Jnzxvrbmnab qsio hjfezcgj mgybf hvgbfuknvsb cadcep ofaus.Rsxdfueidwd otcw mfnzambh xwlsq qhcnhbwmztd hnzelp cjkes.Hwlfqnpypof pacl taqwsmev yimcb vauszuuqtgi xmvnge uijxy.Lkrhwjjepey hiax zzxwsbgq srscn kscvvytrbbm wktani cfwfh.Ebrumqyjrzk mgen uqtlrljl aquld nyyvnemyidf lichcl tthaa.Qampmizlypy tldu gkamqhfv ghwmi yimhvbzwfaa gkpdem nlfwt.Docwkjyapmq rspw dweatxnt cyvsr eavhlfgptvl tuhsme xtgun.Yqlmykcsgyp sqlt aujxqxlf gnckv zyhwsrqemsp leuiah chpif.Yxtledwprck ilye lfukherj fzymk luaocgimrtc kfpmdq jbvey.Bhqhdgleuhh xyso kuramoyp jvmjh rcobkyihohs bbqmrg bnyzj.Jcknozxefni wdvj rcdtmhpz chrpw pprgupoeenf rcwhvf jills.Axvgvfwvaaf kage bbfuagln sbqxx qmmrygmeewu ipdyyb jvjtd.Fjjxzndnpya qbuo rgyjevyb tpvmk lcxttxxswvx cxjtks engsm.Vfhnakuesve nejp wyqxhivz thncj rfjfjllpilt cfveeh jcjnu.Kqpttouridm wnhk cuvyhoom sbmek oavgzrbzelu nxdcem csniq.Zwgtluyjpsh zvhw qdabdolo kssev cxrtimwviyt ktorud wzmno.Fbktodsuxvo cdki atscslwn upfjr hdlbpqlhbvi zndsqu phqfz.Crxfksaxuon yhvv jhmxivom tsayr hybnkuudvqq xxtpmp vqiir.Lfpdbdmneib sqrs vrskbbyj erfnr grxvcefebzp nsgplp ihlvg.Mcxhslsmtnp jneh rqhzbazc fwddg hiqdsrjutxn wgdabr qgqdv.Lxebwqeulwx xmxi vhremsoj enkhz ciesuqypgdw vedlzz yednd.Vjudajixeji wlhm iidstqug lycur vyenweuogzp unbprl ghiua.,2018-11-22,2018-12-02,19
"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2019-08-13,2019-08-23,35
Phasellus in felis. Donec semper sapien a libero. Nam dui.,2021-05-22,2021-05-28,27
In sagittis dui vel nisl.,2020-04-07,2020-04-16,42
Etiam faucibus cursus urna.,2020-07-12,2020-07-18,44
"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",2021-02-02,2021-02-12,30
Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,2020-01-04,2020-01-14,33
"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",2021-03-12,2021-03-22,24
Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2019-05-22,2019-05-29,29
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",2019-12-06,2019-12-12,29
Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,2020-02-07,2020-02-13,48
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",2021-03-26,2021-04-05,27
Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,2021-03-06,2021-03-16,17
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,2018-12-27,2019-01-06,41
"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",2019-03-05,2019-03-12,7
In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,2021-01-17,2021-01-24,20
"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2021-06-22,2021-06-28,50
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,2019-01-13,2019-01-18,32
Vivamus tortor. Duis mattis egestas metus.,2020-11-12,2020-11-18,31
"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",2019-02-01,2019-02-06,24
"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",2021-09-01,2021-09-10,35
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",2021-01-26,2021-02-03,50
Duis aliquam convallis nunc.,2021-03-22,2021-03-28,5
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2021-02-03,2021-02-13,43
Aenean fermentum. Donec ut mauris eget massa tempor convallis.,2020-12-03,2020-12-13,27
"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2020-08-02,2020-08-08,10
"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2019-04-02,2019-04-08,7
"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",2020-09-28,2020-10-04,16
Phasellus id sapien in sapien iaculis congue.,2020-09-29,2020-10-09,10
Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,2021-05-24,2021-05-29,41
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2020-06-10,2020-06-19,36
"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2019-11-01,2019-11-07,26
"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2021-01-28,2021-02-03,15
"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",2021-03-17,2021-03-24,25
"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2020-01-25,2020-02-02,6
"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",2020-11-06,2020-11-15,20
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2020-01-25,2020-02-01,34
"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2020-08-09,2020-08-17,45
Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,2020-09-21,2020-09-27,12
Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,2019-07-18,2019-07-25,35
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,2021-05-14,2021-05-19,18
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2019-12-18,2019-12-26,14
"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2021-03-16,2021-03-26,1
Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2020-07-24,2020-08-02,21
"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",2019-01-07,2019-01-16,21
Donec semper sapien a libero.,2019-09-01,2019-09-11,33
Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,2020-05-28,2020-06-03,2
Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,2021-04-12,2021-04-22,24
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",2021-10-26,2021-11-03,16
"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2019-05-07,2019-05-15,43